x0,x1,time,det_fi,log_det,sensitivity_y
"tf.Tensor(0.014517750722301138, shape=(), dtype=float64)","tf.Tensor(1.6300343051657413, shape=(), dtype=float64)",0.025,"tf.Tensor(4.726871683543029e-15, shape=(), dtype=float64)","tf.Tensor(2.572204690330991e-15, shape=(), dtype=float64)","tf.Tensor(32.98551278890001, shape=(), dtype=float64)","tf.Tensor([[ 1.05381904e-01 -9.74858265e-05  9.43478237e-01 -2.68393385e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.01614778502746688, shape=(), dtype=float64)","tf.Tensor(2.1274474666587118, shape=(), dtype=float64)",0.026000000000000002,"tf.Tensor(9.477023879711399e-15, shape=(), dtype=float64)","tf.Tensor(4.75015219616837e-15, shape=(), dtype=float64)","tf.Tensor(32.28990606467151, shape=(), dtype=float64)","tf.Tensor([[ 1.36883503e-01 -1.22545825e-04  1.12752075e+00 -3.65038330e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.018275232494125594, shape=(), dtype=float64)","tf.Tensor(2.834124544510752, shape=(), dtype=float64)",0.027,"tf.Tensor(1.8066791426953777e-14, shape=(), dtype=float64)","tf.Tensor(8.589767547242378e-15, shape=(), dtype=float64)","tf.Tensor(31.64470086960609, shape=(), dtype=float64)","tf.Tensor([[ 1.70977072e-01 -1.48999466e-04  1.30837209e+00 -4.71144460e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.021109357038636346, shape=(), dtype=float64)","tf.Tensor(3.7553819203249126, shape=(), dtype=float64)",0.028,"tf.Tensor(3.352700581033823e-14, shape=(), dtype=float64)","tf.Tensor(1.5460214383384454e-14, shape=(), dtype=float64)","tf.Tensor(31.0264251372467, shape=(), dtype=float64)","tf.Tensor([[ 2.07859278e-01 -1.77038124e-04  1.48602986e+00 -5.89959571e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.02486473895896126, shape=(), dtype=float64)","tf.Tensor(4.89627622457342, shape=(), dtype=float64)",0.029,"tf.Tensor(6.130067524528297e-14, shape=(), dtype=float64)","tf.Tensor(2.777366943494474e-14, shape=(), dtype=float64)","tf.Tensor(30.422985536608586, shape=(), dtype=float64)","tf.Tensor([[ 2.47731967e-01 -2.06918661e-04  1.66049194e+00 -7.25717759e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.02976101518353468, shape=(), dtype=float64)","tf.Tensor(6.261599004434532, shape=(), dtype=float64)",0.03,"tf.Tensor(1.1091039876649794e-13, shape=(), dtype=float64)","tf.Tensor(4.9609723521214974e-14, shape=(), dtype=float64)","tf.Tensor(29.830053737894332, shape=(), dtype=float64)","tf.Tensor([[ 2.90801906e-01 -2.38983302e-04  1.83175654e+00 -8.83658132e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.03602261418796921, shape=(), dtype=float64)","tf.Tensor(7.855871659348246, shape=(), dtype=float64)",0.031,"tf.Tensor(1.9855922378530448e-13, shape=(), dtype=float64)","tf.Tensor(8.764882501880653e-14, shape=(), dtype=float64)","tf.Tensor(29.24768898268189, shape=(), dtype=float64)","tf.Tensor([[ 3.37280518e-01 -2.73679887e-04  1.99982218e+00 -1.07004210e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.04387848584731746, shape=(), dtype=float64)","tf.Tensor(9.683340649292468, shape=(), dtype=float64)",0.032,"tf.Tensor(3.511914546019923e-13, shape=(), dtype=float64)","tf.Tensor(1.5263223081668782e-13, shape=(), dtype=float64)","tf.Tensor(28.677444865444635, shape=(), dtype=float64)","tf.Tensor([[ 3.87383615e-01 -3.11582463e-04  2.16468768e+00 -1.29216922e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.05356182649660993, shape=(), dtype=float64)","tf.Tensor(11.74797298051151, shape=(), dtype=float64)",0.033,"tf.Tensor(6.130599409660851e-13, shape=(), dtype=float64)","tf.Tensor(2.6186848636409276e-13, shape=(), dtype=float64)","tf.Tensor(28.120313680775986, shape=(), dtype=float64)","tf.Tensor([[ 4.41331124e-01 -3.53412208e-04  2.32635217e+00 -1.55839160e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.06530979947712144, shape=(), dtype=float64)","tf.Tensor(14.053451973154406, shape=(), dtype=float64)",0.034,"tf.Tensor(1.0571054257509137e-12, shape=(), dtype=float64)","tf.Tensor(4.4404548478482864e-13, shape=(), dtype=float64)","tf.Tensor(27.575486673474078, shape=(), dtype=float64)","tf.Tensor([[ 4.99346810e-01 -4.00058638e-04  2.48481509e+00 -1.87812684e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.07936325145027584, shape=(), dtype=float64)","tf.Tensor(16.60317331500175, shape=(), dtype=float64)",0.035,"tf.Tensor(1.8063985124004195e-12, shape=(), dtype=float64)","tf.Tensor(7.492930866495058e-13, shape=(), dtype=float64)","tf.Tensor(27.03968602503178, shape=(), dtype=float64)","tf.Tensor([[ 5.61657995e-01 -4.52601071e-04  2.64007617e+00 -2.26186944e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.09596642476527759, shape=(), dtype=float64)","tf.Tensor(19.400241405176757, shape=(), dtype=float64)",0.036000000000000004,"tf.Tensor(3.077458145933982e-12, shape=(), dtype=float64)","tf.Tensor(1.2710596335335624e-12, shape=(), dtype=float64)","tf.Tensor(26.50691713696601, shape=(), dtype=float64)","tf.Tensor([[ 6.28495270e-01 -5.12330330e-04  2.79213546e+00 -2.72120076e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.11536666617045435, shape=(), dtype=float64)","tf.Tensor(22.44746599144962, shape=(), dtype=float64)",0.037,"tf.Tensor(5.271185457601679e-12, shape=(), dtype=float64)","tf.Tensor(2.1937273116676974e-12, shape=(), dtype=float64)","tf.Tensor(25.968765834155054, shape=(), dtype=float64)","tf.Tensor([[ 7.00092207e-01 -5.80770643e-04  2.94099329e+00 -3.26879750e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.13781413216190397, shape=(), dtype=float64)","tf.Tensor(25.747359104453764, shape=(), dtype=float64)",0.038,"tf.Tensor(9.165370477267001e-12, shape=(), dtype=float64)","tf.Tensor(3.894185019665322e-12, shape=(), dtype=float64)","tf.Tensor(25.41558881240237, shape=(), dtype=float64)","tf.Tensor([[ 7.76685067e-01 -6.59701708e-04  3.08665032e+00 -3.91843853e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.16356149126635774, shape=(), dtype=float64)","tf.Tensor(29.302132291839172, shape=(), dtype=float64)",0.039,"tf.Tensor(1.6317586765541424e-11, shape=(), dtype=float64)","tf.Tensor(7.152216288274423e-12, shape=(), dtype=float64)","tf.Tensor(24.83877764708489, shape=(), dtype=float64)","tf.Tensor([[ 8.58512503e-01 -7.51180904e-04  3.22910748e+00 -4.68501037e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.19286362355819692, shape=(), dtype=float64)","tf.Tensor(33.11369415509119, shape=(), dtype=float64)",0.04,"tf.Tensor(2.9890034819849543e-11, shape=(), dtype=float64)","tf.Tensor(1.3572448054308119e-11, shape=(), dtype=float64)","tf.Tensor(24.233495974700308, shape=(), dtype=float64)","tf.Tensor([[ 9.45815261e-01 -8.57565610e-04  3.36836601e+00 -5.58451099e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.2259773177132881, shape=(), dtype=float64)","tf.Tensor(37.183648191444135, shape=(), dtype=float64)",0.041,"tf.Tensor(5.629404086559461e-11, shape=(), dtype=float64)","tf.Tensor(2.6404006045745065e-11, shape=(), dtype=float64)","tf.Tensor(23.600432432466796, shape=(), dtype=float64)","tf.Tensor([[ 1.03883588e+00 -9.81535598e-04  3.50442744e+00 -6.63405217e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.26316096590473226, shape=(), dtype=float64)","tf.Tensor(41.51329094301725, shape=(), dtype=float64)",0.042,"tf.Tensor(1.0837933301423444e-10, shape=(), dtype=float64)","tf.Tensor(5.208529214863983e-11, shape=(), dtype=float64)","tf.Tensor(22.945383699950185, shape=(), dtype=float64)","tf.Tensor([[ 1.13781839e+00 -1.12611548e-03  3.63729361e+00 -7.85186026e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.3046742568477495, shape=(), dtype=float64)","tf.Tensor(46.103610454996854, shape=(), dtype=float64)",0.043000000000000003,"tf.Tensor(2.1145426800647518e-10, shape=(), dtype=float64)","tf.Tensor(1.0307493499224075e-10, shape=(), dtype=float64)","tf.Tensor(22.277012367742365, shape=(), dtype=float64)","tf.Tensor([[ 1.24300800e+00 -1.29469714e-03  3.76696662e+00 -9.25727543e-03]], shape=(1, 4), dtype=float64)"
