x0,x1,time,det_fi,log_det,sensitivity_y
"tf.Tensor(0.00953252833877194, shape=(), dtype=float64)","tf.Tensor(2.319423591186412, shape=(), dtype=float64)",0.031,"tf.Tensor(8.997041720737343e-14, shape=(), dtype=float64)","tf.Tensor(4.055137215478762e-14, shape=(), dtype=float64)","tf.Tensor(30.0392954763092, shape=(), dtype=float64)","tf.Tensor([[ 1.89655057e-01  1.27347865e-05 -1.56085559e+00 -1.29844088e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.011851951929958351, shape=(), dtype=float64)","tf.Tensor(0.8963595016675132, shape=(), dtype=float64)",0.032,"tf.Tensor(2.0022530141393594e-13, shape=(), dtype=float64)","tf.Tensor(1.1025488420656251e-13, shape=(), dtype=float64)","tf.Tensor(29.23933315532594, shape=(), dtype=float64)","tf.Tensor([[ 8.34740398e-01  8.15280760e-06 -6.56126326e+00 -5.79556099e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.012748311431625864, shape=(), dtype=float64)","tf.Tensor(-0.4934587591728643, shape=(), dtype=float64)",0.033,"tf.Tensor(4.209096769352163e-13, shape=(), dtype=float64)","tf.Tensor(2.2068437552128035e-13, shape=(), dtype=float64)","tf.Tensor(28.496358128343054, shape=(), dtype=float64)","tf.Tensor([[ 1.47762583e+00  2.47549037e-06 -1.15404084e+01 -1.02757387e-02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.012254852672453, shape=(), dtype=float64)","tf.Tensor(2.605872023825402, shape=(), dtype=float64)",0.034,"tf.Tensor(5.021990104019322e-13, shape=(), dtype=float64)","tf.Tensor(8.128933346671587e-14, shape=(), dtype=float64)","tf.Tensor(28.319779918714964, shape=(), dtype=float64)","tf.Tensor([[-7.68167037e-01  2.11142785e-05  5.86211704e+00  5.38312757e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.014860724696278402, shape=(), dtype=float64)","tf.Tensor(1.2616634465499024, shape=(), dtype=float64)",0.035,"tf.Tensor(1.1641604919237924e-12, shape=(), dtype=float64)","tf.Tensor(6.619614815218603e-13, shape=(), dtype=float64)","tf.Tensor(27.479020896464213, shape=(), dtype=float64)","tf.Tensor([[-3.00272330e+00  3.85123008e-05  2.31821939e+01  2.09576413e-02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.016122388142828303, shape=(), dtype=float64)","tf.Tensor(-0.049694619684494734, shape=(), dtype=float64)",0.036000000000000004,"tf.Tensor(3.2153974999315088e-12, shape=(), dtype=float64)","tf.Tensor(2.051237008007716e-12, shape=(), dtype=float64)","tf.Tensor(26.46307012671167, shape=(), dtype=float64)","tf.Tensor([[-5.22585727e+00  5.44283261e-05  4.04185695e+01  3.64530019e-02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.01607269352314381, shape=(), dtype=float64)","tf.Tensor(1.137103871013877, shape=(), dtype=float64)",0.037,"tf.Tensor(4.654027536030626e-12, shape=(), dtype=float64)","tf.Tensor(1.4386300360991175e-12, shape=(), dtype=float64)","tf.Tensor(26.093288134428516, shape=(), dtype=float64)","tf.Tensor([[ 2.52570395e+00 -2.57959734e-06 -1.96732328e+01 -1.75692249e-02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.017209797394157685, shape=(), dtype=float64)","tf.Tensor(-0.1201531989031055, shape=(), dtype=float64)",0.038,"tf.Tensor(1.7251826412783607e-11, shape=(), dtype=float64)","tf.Tensor(1.259779887675298e-11, shape=(), dtype=float64)","tf.Tensor(24.783103099054017, shape=(), dtype=float64)","tf.Tensor([[ 1.02425127e+01 -6.08391568e-05 -7.94903764e+01 -7.13478417e-02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.017089644195254577, shape=(), dtype=float64)","tf.Tensor(1.4363154149017787, shape=(), dtype=float64)",0.039,"tf.Tensor(5.0508975056163584e-11, shape=(), dtype=float64)","tf.Tensor(3.3257148643379974e-11, shape=(), dtype=float64)","tf.Tensor(23.708870071553825, shape=(), dtype=float64)","tf.Tensor([[-1.66694058e+01  1.40723742e-04  1.29126647e+02  1.16208981e-01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.018525959610156358, shape=(), dtype=float64)","tf.Tensor(0.23119814335970568, shape=(), dtype=float64)",0.04,"tf.Tensor(2.718972752744185e-10, shape=(), dtype=float64)","tf.Tensor(2.2138830021825489e-10, shape=(), dtype=float64)","tf.Tensor(22.025596785398008, shape=(), dtype=float64)","tf.Tensor([[-4.34555563e+01  3.39742279e-04  3.36774401e+02  3.02889678e-01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.018757157753516062, shape=(), dtype=float64)","tf.Tensor(0.2646277245258609, shape=(), dtype=float64)",0.041,"tf.Tensor(6.660718157492969e-10, shape=(), dtype=float64)","tf.Tensor(3.941745404748784e-10, shape=(), dtype=float64)","tf.Tensor(21.12962361974615, shape=(), dtype=float64)","tf.Tensor([[ 5.00203865e+01 -3.56512578e-04 -3.87849317e+02 -3.48565351e-01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.01902178547804192, shape=(), dtype=float64)","tf.Tensor(0.17475579453630324, shape=(), dtype=float64)",0.042,"tf.Tensor(1.1213327745094816e-08, shape=(), dtype=float64)","tf.Tensor(1.0547255929345518e-08, shape=(), dtype=float64)","tf.Tensor(18.306162788866484, shape=(), dtype=float64)","tf.Tensor([[-2.76227806e+02  2.07178562e-03  2.14122755e+03  1.92513905e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.019196541272578225, shape=(), dtype=float64)","tf.Tensor(0.5151465261819869, shape=(), dtype=float64)",0.043000000000000003,"tf.Tensor(1.2452716085740138e-07, shape=(), dtype=float64)","tf.Tensor(1.1331383311230657e-07, shape=(), dtype=float64)","tf.Tensor(15.898741985337772, shape=(), dtype=float64)","tf.Tensor([[ 8.61904799e+02 -6.40123384e-03 -6.68157174e+03 -6.00678141e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.019711687798760213, shape=(), dtype=float64)","tf.Tensor(-0.578599579172428, shape=(), dtype=float64)",0.044,"tf.Tensor(7.273144284449428e-07, shape=(), dtype=float64)","tf.Tensor(6.027872675875415e-07, shape=(), dtype=float64)","tf.Tensor(14.133906951614836, shape=(), dtype=float64)","tf.Tensor([[ 1.99474799e+03 -1.48366753e-02 -1.54633611e+04 -1.39018333e+01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.019133088219587785, shape=(), dtype=float64)","tf.Tensor(2.844825749495586, shape=(), dtype=float64)",0.045,"tf.Tensor(2.2314423718345646e-06, shape=(), dtype=float64)","tf.Tensor(1.5041279433896218e-06, shape=(), dtype=float64)","tf.Tensor(13.012862378066227, shape=(), dtype=float64)","tf.Tensor([[ 3.12221939e+03 -2.32339653e-02 -2.42034970e+04 -2.17594370e+01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.02197791396908337, shape=(), dtype=float64)","tf.Tensor(1.7938362499304197, shape=(), dtype=float64)",0.046,"tf.Tensor(5.092716557085793e-06, shape=(), dtype=float64)","tf.Tensor(2.861274185251228e-06, shape=(), dtype=float64)","tf.Tensor(12.187699165039577, shape=(), dtype=float64)","tf.Tensor([[ 4.24423747e+03 -3.15924335e-02 -3.29013522e+04 -2.95790405e+01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.02377175021901379, shape=(), dtype=float64)","tf.Tensor(0.7743050618265181, shape=(), dtype=float64)",0.047,"tf.Tensor(9.84504693675476e-06, shape=(), dtype=float64)","tf.Tensor(4.7523303796689676e-06, shape=(), dtype=float64)","tf.Tensor(11.528542078311695, shape=(), dtype=float64)","tf.Tensor([[ 5.36072163e+03 -3.99117388e-02 -4.15563013e+04 -3.73600768e+01]], shape=(1, 4), dtype=float64)"
