x0,x1,time,det_fi,log_det,sensitivity_y
"tf.Tensor(0.006950039545220238, shape=(), dtype=float64)","tf.Tensor(1.037245312507359, shape=(), dtype=float64)",0.04,"tf.Tensor(4.953447937450811e-14, shape=(), dtype=float64)","tf.Tensor(3.161773086903998e-14, shape=(), dtype=float64)","tf.Tensor(30.636107414796136, shape=(), dtype=float64)","tf.Tensor([[-9.75892402e-01 -4.60965130e-05 -1.37546171e+00  1.78101449e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.007987284857727596, shape=(), dtype=float64)","tf.Tensor(-0.9427350797679981, shape=(), dtype=float64)",0.041,"tf.Tensor(1.1552565407567653e-13, shape=(), dtype=float64)","tf.Tensor(6.599117470116841e-14, shape=(), dtype=float64)","tf.Tensor(29.789283776403003, shape=(), dtype=float64)","tf.Tensor([[-1.39176106e+00 -6.85851471e-05 -1.98430740e+00  2.47386857e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.007044549777959598, shape=(), dtype=float64)","tf.Tensor(1.5784342123769879, shape=(), dtype=float64)",0.042,"tf.Tensor(2.292055720193408e-13, shape=(), dtype=float64)","tf.Tensor(1.1367991794366428e-13, shape=(), dtype=float64)","tf.Tensor(29.104157099635493, shape=(), dtype=float64)","tf.Tensor([[-1.80532707e+00 -9.17161805e-05 -2.58793689e+00  3.16772228e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.008622983990336586, shape=(), dtype=float64)","tf.Tensor(-0.39067481603806087, shape=(), dtype=float64)",0.043000000000000003,"tf.Tensor(4.0567626484027713e-13, shape=(), dtype=float64)","tf.Tensor(1.7647069282093632e-13, shape=(), dtype=float64)","tf.Tensor(28.533220930623976, shape=(), dtype=float64)","tf.Tensor([[-2.21655532e+00 -1.15395762e-04 -3.19080254e+00  3.85072865e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.008232309174298525, shape=(), dtype=float64)","tf.Tensor(1.6505094874917594, shape=(), dtype=float64)",0.044,"tf.Tensor(4.391206854847864e-13, shape=(), dtype=float64)","tf.Tensor(3.344442064450925e-14, shape=(), dtype=float64)","tf.Tensor(28.454002109628217, shape=(), dtype=float64)","tf.Tensor([[-7.79850524e-01 -3.34955888e-05 -1.08324177e+00  1.46639252e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.009882818661790286, shape=(), dtype=float64)","tf.Tensor(-0.3056397159315951, shape=(), dtype=float64)",0.045,"tf.Tensor(5.394982863506409e-13, shape=(), dtype=float64)","tf.Tensor(1.0037760086585454e-13, shape=(), dtype=float64)","tf.Tensor(28.24813678658336, shape=(), dtype=float64)","tf.Tensor([[ 6.50639932e-01  4.72580165e-05  1.01253167e+00 -9.14878141e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.00957717894585869, shape=(), dtype=float64)","tf.Tensor(1.366873694149019, shape=(), dtype=float64)",0.046,"tf.Tensor(1.4272067115799236e-12, shape=(), dtype=float64)","tf.Tensor(8.877084252292827e-13, shape=(), dtype=float64)","tf.Tensor(27.275301930475536, shape=(), dtype=float64)","tf.Tensor([[-4.34284106e+00 -2.35580275e-04 -6.30235112e+00  7.39888444e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.01094405264000771, shape=(), dtype=float64)","tf.Tensor(-0.5746688459129705, shape=(), dtype=float64)",0.047,"tf.Tensor(5.979067509616231e-12, shape=(), dtype=float64)","tf.Tensor(4.5518607980363076e-12, shape=(), dtype=float64)","tf.Tensor(25.842756494971894, shape=(), dtype=float64)","tf.Tensor([[-9.31275566e+00 -5.18003233e-04 -1.35854020e+01  1.56675122e-02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.010369383794094739, shape=(), dtype=float64)","tf.Tensor(1.9847277187918395, shape=(), dtype=float64)",0.048,"tf.Tensor(1.718662432748065e-11, shape=(), dtype=float64)","tf.Tensor(1.1207556817864419e-11, shape=(), dtype=float64)","tf.Tensor(24.78688969001897, shape=(), dtype=float64)","tf.Tensor([[-1.42587372e+01 -8.00114830e-04 -2.08315959e+01  2.38995029e-02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.012354111512886578, shape=(), dtype=float64)","tf.Tensor(0.053632749066640395, shape=(), dtype=float64)",0.049,"tf.Tensor(3.828186119969576e-11, shape=(), dtype=float64)","tf.Tensor(2.1095236872215107e-11, shape=(), dtype=float64)","tf.Tensor(23.986044929844034, shape=(), dtype=float64)","tf.Tensor([[-1.91804231e+01 -1.08183585e-03 -2.80449047e+01  3.20822937e-02]], shape=(1, 4), dtype=float64)"
