x0,x1,time,det_fi
"tf.Tensor(12.221927, shape=(), dtype=float32)","tf.Tensor(346.74564, shape=(), dtype=float32)",0.121,0.0011477135713472183
"tf.Tensor(12.568672, shape=(), dtype=float32)","tf.Tensor(350.1339, shape=(), dtype=float32)",0.122,0.0017408537873177833
"tf.Tensor(12.918806, shape=(), dtype=float32)","tf.Tensor(353.38153, shape=(), dtype=float32)",0.123,0.0026270419413647905
"tf.Tensor(13.272187, shape=(), dtype=float32)","tf.Tensor(356.4853, shape=(), dtype=float32)",0.124,0.003944558360863104
"tf.Tensor(13.628673, shape=(), dtype=float32)","tf.Tensor(359.44208, shape=(), dtype=float32)",0.125,0.0058939354907525665
"tf.Tensor(13.988114, shape=(), dtype=float32)","tf.Tensor(362.2489, shape=(), dtype=float32)",0.126,0.008764663009091256
"tf.Tensor(14.350364, shape=(), dtype=float32)","tf.Tensor(364.9029, shape=(), dtype=float32)",0.127,0.012972794172662087
"tf.Tensor(14.715266, shape=(), dtype=float32)","tf.Tensor(367.40137, shape=(), dtype=float32)",0.128,0.019113681837599067
"tf.Tensor(15.082667, shape=(), dtype=float32)","tf.Tensor(369.74173, shape=(), dtype=float32)",0.129,0.028035626670160917
"tf.Tensor(15.452409, shape=(), dtype=float32)","tf.Tensor(371.9215, shape=(), dtype=float32)",0.13,0.04094231810753562
"tf.Tensor(15.82433, shape=(), dtype=float32)","tf.Tensor(373.93842, shape=(), dtype=float32)",0.131,0.05953476327153446
"tf.Tensor(16.198269, shape=(), dtype=float32)","tf.Tensor(375.79028, shape=(), dtype=float32)",0.132,0.08620716856920735
"tf.Tensor(16.574059, shape=(), dtype=float32)","tf.Tensor(377.47507, shape=(), dtype=float32)",0.133,0.12431626127533599
"tf.Tensor(16.951534, shape=(), dtype=float32)","tf.Tensor(378.9909, shape=(), dtype=float32)",0.134,0.17855021752657976
"tf.Tensor(17.330524, shape=(), dtype=float32)","tf.Tensor(380.3361, shape=(), dtype=float32)",0.135,0.2554322032887438
"tf.Tensor(17.710861, shape=(), dtype=float32)","tf.Tensor(381.50903, shape=(), dtype=float32)",0.136,0.364005200270997
"tf.Tensor(18.092371, shape=(), dtype=float32)","tf.Tensor(382.5083, shape=(), dtype=float32)",0.137,0.5167601389699422
"tf.Tensor(18.47488, shape=(), dtype=float32)","tf.Tensor(383.3326, shape=(), dtype=float32)",0.138,0.7308894783563544
"tf.Tensor(18.858213, shape=(), dtype=float32)","tf.Tensor(383.98087, shape=(), dtype=float32)",0.139,1.029974661579189
"tf.Tensor(19.242195, shape=(), dtype=float32)","tf.Tensor(384.45212, shape=(), dtype=float32)",0.14,1.4462501626450555
"tf.Tensor(19.626648, shape=(), dtype=float32)","tf.Tensor(384.74554, shape=(), dtype=float32)",0.14100000000000001,2.023631283807884
"tf.Tensor(20.011393, shape=(), dtype=float32)","tf.Tensor(384.8605, shape=(), dtype=float32)",0.14200000000000002,2.8217505188240404
"tf.Tensor(20.396254, shape=(), dtype=float32)","tf.Tensor(384.7965, shape=(), dtype=float32)",0.14300000000000002,3.921321674138893
"tf.Tensor(20.78105, shape=(), dtype=float32)","tf.Tensor(384.55325, shape=(), dtype=float32)",0.14400000000000002,5.4312466795041985
"tf.Tensor(21.165604, shape=(), dtype=float32)","tf.Tensor(384.13055, shape=(), dtype=float32)",0.145,7.498002934699772
"tf.Tensor(21.549734, shape=(), dtype=float32)","tf.Tensor(383.52838, shape=(), dtype=float32)",0.146,10.318006341920556
"tf.Tensor(21.933262, shape=(), dtype=float32)","tf.Tensor(382.74692, shape=(), dtype=float32)",0.147,14.153846075859132
"tf.Tensor(22.31601, shape=(), dtype=float32)","tf.Tensor(381.78647, shape=(), dtype=float32)",0.148,19.35554255933817
"tf.Tensor(22.697796, shape=(), dtype=float32)","tf.Tensor(380.64752, shape=(), dtype=float32)",0.149,26.388304945809107
"tf.Tensor(23.078444, shape=(), dtype=float32)","tf.Tensor(379.3307, shape=(), dtype=float32)",0.15,35.86867514548673
"tf.Tensor(23.457775, shape=(), dtype=float32)","tf.Tensor(377.83676, shape=(), dtype=float32)",0.151,48.611464311932416
"tf.Tensor(23.835611, shape=(), dtype=float32)","tf.Tensor(376.16672, shape=(), dtype=float32)",0.152,65.69054167082182
"tf.Tensor(24.211779, shape=(), dtype=float32)","tf.Tensor(374.32166, shape=(), dtype=float32)",0.153,88.51735686683794
"tf.Tensor(24.5861, shape=(), dtype=float32)","tf.Tensor(372.30283, shape=(), dtype=float32)",0.154,118.94210686101883
"tf.Tensor(24.958403, shape=(), dtype=float32)","tf.Tensor(370.11166, shape=(), dtype=float32)",0.155,159.38374514432778
"tf.Tensor(25.328514, shape=(), dtype=float32)","tf.Tensor(367.74973, shape=(), dtype=float32)",0.156,212.9966377805943
"tf.Tensor(25.696264, shape=(), dtype=float32)","tf.Tensor(365.21875, shape=(), dtype=float32)",0.157,283.8836686037357
"tf.Tensor(26.061483, shape=(), dtype=float32)","tf.Tensor(362.52063, shape=(), dtype=float32)",0.158,377.36807737595853
"tf.Tensor(26.424004, shape=(), dtype=float32)","tf.Tensor(359.65738, shape=(), dtype=float32)",0.159,500.3393870978412
"tf.Tensor(26.78366, shape=(), dtype=float32)","tf.Tensor(356.6312, shape=(), dtype=float32)",0.16,661.6925726151773
"tf.Tensor(27.140291, shape=(), dtype=float32)","tf.Tensor(353.44437, shape=(), dtype=float32)",0.161,872.8843049741873
"tf.Tensor(27.493736, shape=(), dtype=float32)","tf.Tensor(350.0994, shape=(), dtype=float32)",0.162,1148.635877806232
"tf.Tensor(27.843836, shape=(), dtype=float32)","tf.Tensor(346.59888, shape=(), dtype=float32)",0.163,1507.8194784579152
"tf.Tensor(28.190435, shape=(), dtype=float32)","tf.Tensor(342.94556, shape=(), dtype=float32)",0.164,1974.5731382589975
"tf.Tensor(28.53338, shape=(), dtype=float32)","tf.Tensor(339.1423, shape=(), dtype=float32)",0.165,2579.700290496676
"tf.Tensor(28.872522, shape=(), dtype=float32)","tf.Tensor(335.19214, shape=(), dtype=float32)",0.166,3362.4227808522774
"tf.Tensor(29.207714, shape=(), dtype=float32)","tf.Tensor(331.09824, shape=(), dtype=float32)",0.167,4372.571906768353
"tf.Tensor(29.538813, shape=(), dtype=float32)","tf.Tensor(326.86383, shape=(), dtype=float32)",0.168,5673.321160736084
"tf.Tensor(29.865677, shape=(), dtype=float32)","tf.Tensor(322.49234, shape=(), dtype=float32)",0.169,7344.587516624932
"tf.Tensor(30.18817, shape=(), dtype=float32)","tf.Tensor(317.9873, shape=(), dtype=float32)",0.17,9487.256176710365
"tf.Tensor(30.506157, shape=(), dtype=float32)","tf.Tensor(313.35233, shape=(), dtype=float32)",0.171,12228.41744129979
"tf.Tensor(30.81951, shape=(), dtype=float32)","tf.Tensor(308.5912, shape=(), dtype=float32)",0.17200000000000001,15727.845262432775
"tf.Tensor(31.128101, shape=(), dtype=float32)","tf.Tensor(303.70773, shape=(), dtype=float32)",0.17300000000000001,20185.996056667078
"tf.Tensor(31.431808, shape=(), dtype=float32)","tf.Tensor(298.70593, shape=(), dtype=float32)",0.17400000000000002,25853.865327980544
