x0,x1,time,det_fi,log_det,sensitivity_y
"tf.Tensor(0.01661426670575205, shape=(), dtype=float64)","tf.Tensor(0.9479149856565745, shape=(), dtype=float64)",0.032,"tf.Tensor(6.5987353228694495e-18, shape=(), dtype=float64)","tf.Tensor(39.55965366096852, shape=(), dtype=float64)","tf.Tensor([[-6.53993754e+00  9.87810915e-04  2.63686183e+02 -1.61224470e-01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.017562181691408624, shape=(), dtype=float64)","tf.Tensor(0.8775976480852125, shape=(), dtype=float64)",0.033,"tf.Tensor(3.3775919745760014e-17, shape=(), dtype=float64)","tf.Tensor(37.92678355886263, shape=(), dtype=float64)","tf.Tensor([[ 1.22039836e+01 -1.80341709e-03 -4.94708691e+02  3.02998152e-01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.018439779339493836, shape=(), dtype=float64)","tf.Tensor(0.9332208440095964, shape=(), dtype=float64)",0.034,"tf.Tensor(1.1137923026138365e-16, shape=(), dtype=float64)","tf.Tensor(36.73359080667829, shape=(), dtype=float64)","tf.Tensor([[ 3.08631405e+01 -4.58335248e-03 -1.24958795e+03  7.65063334e-01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.019373000183503433, shape=(), dtype=float64)","tf.Tensor(1.1165604282949069, shape=(), dtype=float64)",0.035,"tf.Tensor(3.026060921170387e-16, shape=(), dtype=float64)","tf.Tensor(35.73409974016674, shape=(), dtype=float64)","tf.Tensor([[ 4.94362905e+01 -7.35186787e-03 -2.00089664e+03  1.22493720e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.020489560611798338, shape=(), dtype=float64)","tf.Tensor(1.4292457277698203, shape=(), dtype=float64)",0.036000000000000004,"tf.Tensor(8.084353278361599e-16, shape=(), dtype=float64)","tf.Tensor(34.751430988382836, shape=(), dtype=float64)","tf.Tensor([[ 6.79222074e+01 -1.01088428e-02 -2.74858038e+03  1.68258565e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.021918806339568157, shape=(), dtype=float64)","tf.Tensor(1.8727578566640863, shape=(), dtype=float64)",0.037,"tf.Tensor(2.2195168401149568e-15, shape=(), dtype=float64)","tf.Tensor(33.74148686230129, shape=(), dtype=float64)","tf.Tensor([[ 8.63196806e+01 -1.28541757e-02 -3.49258540e+03  2.13797431e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.023791564196232243, shape=(), dtype=float64)","tf.Tensor(2.448428180600266, shape=(), dtype=float64)",0.038,"tf.Tensor(5.890151099144964e-15, shape=(), dtype=float64)","tf.Tensor(32.76549474407115, shape=(), dtype=float64)","tf.Tensor([[ 1.04627516e+02 -1.55877960e-02 -4.23285849e+03  2.59106861e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.02623999237683251, shape=(), dtype=float64)","tf.Tensor(3.157436930652013, shape=(), dtype=float64)",0.039,"tf.Tensor(1.4131012846792131e-14, shape=(), dtype=float64)","tf.Tensor(31.890404520189257, shape=(), dtype=float64)","tf.Tensor([[ 1.22844534e+02 -1.83096762e-02 -4.96934707e+03  3.04183371e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.029397429307484523, shape=(), dtype=float64)","tf.Tensor(4.000811968833001, shape=(), dtype=float64)",0.04,"tf.Tensor(3.045119999639451e-14, shape=(), dtype=float64)","tf.Tensor(31.122650992782695, shape=(), dtype=float64)","tf.Tensor([[ 1.40969574e+02 -2.10198443e-02 -5.70199914e+03  3.49023453e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.03339824127631753, shape=(), dtype=float64)","tf.Tensor(4.979427706230934, shape=(), dtype=float64)",0.041,"tf.Tensor(6.885468580774312e-14, shape=(), dtype=float64)","tf.Tensor(30.3067781138421, shape=(), dtype=float64)","tf.Tensor([[ 1.59001486e+02 -2.37183962e-02 -6.43076330e+03  3.93623575e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.03837766898254846, shape=(), dtype=float64)","tf.Tensor(6.094004174850247, shape=(), dtype=float64)",0.042,"tf.Tensor(2.350322924433732e-13, shape=(), dtype=float64)","tf.Tensor(29.079053475554403, shape=(), dtype=float64)","tf.Tensor([[ 1.76939141e+02 -2.64055074e-02 -7.15558875e+03  4.37980180e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.04447167315739871, shape=(), dtype=float64)","tf.Tensor(7.345106254075238, shape=(), dtype=float64)",0.043000000000000003,"tf.Tensor(1.185667360337191e-12, shape=(), dtype=float64)","tf.Tensor(27.46071532658368, shape=(), dtype=float64)","tf.Tensor([[ 1.94781422e+02 -2.90814462e-02 -7.87642529e+03  4.82089687e+00]], shape=(1, 4), dtype=float64)"
