x0,x1,time,log_det,setp_reward,sensitivity_y
"tf.Tensor(3.494823508301066, shape=(), dtype=float64)","tf.Tensor(203.9548518674235, shape=(), dtype=float64)",0.033,-17.36107204672028,"tf.Tensor(0.6328350170876718, shape=(), dtype=float64)","tf.Tensor([[ 4.54974135 -0.02972588 -1.12074613 -0.1836616 ]], shape=(1, 4), dtype=float64)"
"tf.Tensor(3.6987783601684896, shape=(), dtype=float64)","tf.Tensor(208.93139566962273, shape=(), dtype=float64)",0.034,-16.746798033238395,"tf.Tensor(0.614274009966266, shape=(), dtype=float64)","tf.Tensor([[ 4.81952449 -0.03342654 -1.18841027 -0.19994283]], shape=(1, 4), dtype=float64)"
"tf.Tensor(3.907709755838112, shape=(), dtype=float64)","tf.Tensor(213.83867915198968, shape=(), dtype=float64)",0.035,-16.150176956088607,"tf.Tensor(0.5966210304135302, shape=(), dtype=float64)","tf.Tensor([[ 5.09612002 -0.03745526 -1.25789549 -0.21710671]], shape=(1, 4), dtype=float64)"
"tf.Tensor(4.1215484349901015, shape=(), dtype=float64)","tf.Tensor(218.67655744074543, shape=(), dtype=float64)",0.036000000000000004,-15.570326456435527,"tf.Tensor(0.5798504115934833, shape=(), dtype=float64)","tf.Tensor([[ 5.37944392 -0.04182981 -1.32918691 -0.23517048]], shape=(1, 4), dtype=float64)"
"tf.Tensor(4.340224992430847, shape=(), dtype=float64)","tf.Tensor(223.4448928578588, shape=(), dtype=float64)",0.037,-15.006399884196831,"tf.Tensor(0.5639265914049076, shape=(), dtype=float64)","tf.Tensor([[ 5.6694119  -0.04656834 -1.40226957 -0.25415095]], shape=(1, 4), dtype=float64)"
"tf.Tensor(4.563669885288705, shape=(), dtype=float64)","tf.Tensor(228.14355490106914, shape=(), dtype=float64)",0.038,-14.457590178450074,"tf.Tensor(0.548809579948049, shape=(), dtype=float64)","tf.Tensor([[ 5.96593945 -0.05168931 -1.47712837 -0.27406438]], shape=(1, 4), dtype=float64)"
"tf.Tensor(4.791813440189775, shape=(), dtype=float64)","tf.Tensor(232.77242022332481, shape=(), dtype=float64)",0.039,-13.923131373874446,"tf.Tensor(0.5344588708846061, shape=(), dtype=float64)","tf.Tensor([[ 6.26894181 -0.05721153 -1.55374815 -0.2949266 ]], shape=(1, 4), dtype=float64)"
"tf.Tensor(5.0245858604131, shape=(), dtype=float64)","tf.Tensor(237.33137261164262, shape=(), dtype=float64)",0.04,-13.402296715928411,"tf.Tensor(0.5208346665747534, shape=(), dtype=float64)","tf.Tensor([[ 6.57833401 -0.0631541  -1.63211363 -0.31675291]], shape=(1, 4), dtype=float64)"
"tf.Tensor(5.261917233024743, shape=(), dtype=float64)","tf.Tensor(241.82030296539233, shape=(), dtype=float64)",0.041,-12.894396923663782,"tf.Tensor(0.5078998286373348, shape=(), dtype=float64)","tf.Tensor([[ 6.89403086 -0.06953646 -1.71220945 -0.33955815]], shape=(1, 4), dtype=float64)"
"tf.Tensor(5.503737535990135, shape=(), dtype=float64)","tf.Tensor(246.23910927401127, shape=(), dtype=float64)",0.042,-12.39877609961883,"tf.Tensor(0.4956207702912785, shape=(), dtype=float64)","tf.Tensor([[ 7.21594698 -0.07637833 -1.79402014 -0.36335666]], shape=(1, 4), dtype=float64)"
"tf.Tensor(5.749976645264146, shape=(), dtype=float64)","tf.Tensor(250.58769659415347, shape=(), dtype=float64)",0.043000000000000003,-11.914808617893337,"tf.Tensor(0.4839675803256682, shape=(), dtype=float64)","tf.Tensor([[ 7.54399678 -0.08369973 -1.87753016 -0.38816228]], shape=(1, 4), dtype=float64)"
"tf.Tensor(6.0005643418583, shape=(), dtype=float64)","tf.Tensor(254.8659770262783, shape=(), dtype=float64)",0.044,-11.441894207000566,"tf.Tensor(0.4729144433809367, shape=(), dtype=float64)","tf.Tensor([[ 7.8780945  -0.09152094 -1.96272387 -0.4139884 ]], shape=(1, 4), dtype=float64)"
"tf.Tensor(6.255430318884578, shape=(), dtype=float64)","tf.Tensor(259.07386969068324, shape=(), dtype=float64)",0.045,-10.97945442896997,"tf.Tensor(0.46243961304968906, shape=(), dtype=float64)","tf.Tensor([[ 8.21815419 -0.09986253 -2.04958555 -0.44084789]], shape=(1, 4), dtype=float64)"
"tf.Tensor(6.514504188575261, shape=(), dtype=float64)","tf.Tensor(263.2113007029857, shape=(), dtype=float64)",0.046,-10.52692800624472,"tf.Tensor(0.45252634846686135, shape=(), dtype=float64)","tf.Tensor([[ 8.56408974 -0.10874532 -2.13809938 -0.46875316]], shape=(1, 4), dtype=float64)"
"tf.Tensor(6.777715489278247, shape=(), dtype=float64)","tf.Tensor(267.2782031490584, shape=(), dtype=float64)",0.047,-10.083765800357973,"tf.Tensor(0.4431620963791687, shape=(), dtype=float64)","tf.Tensor([[ 8.91581487 -0.11819038 -2.22824947 -0.49771611]], shape=(1, 4), dtype=float64)"
"tf.Tensor(7.0449936924273056, shape=(), dtype=float64)","tf.Tensor(271.2745170594239, shape=(), dtype=float64)",0.048,-9.649426832462957,"tf.Tensor(0.43433897700079527, shape=(), dtype=float64)","tf.Tensor([[ 9.27324316 -0.12821903 -2.32001985 -0.52774818]], shape=(1, 4), dtype=float64)"
"tf.Tensor(7.316268209486729, shape=(), dtype=float64)","tf.Tensor(275.20018938311193, shape=(), dtype=float64)",0.049,-9.223373805153445,"tf.Tensor(0.4260528464042608, shape=(), dtype=float64)","tf.Tensor([[ 9.63628806 -0.13885281 -2.41339445 -0.55886031]], shape=(1, 4), dtype=float64)"
"tf.Tensor(7.591468398869841, shape=(), dtype=float64)","tf.Tensor(279.05517396098605, shape=(), dtype=float64)",0.05,-8.805068946318809,"tf.Tensor(0.41830491877682974, shape=(), dtype=float64)","tf.Tensor([[10.00486285 -0.15011347 -2.50835716 -0.59106297]], shape=(1, 4), dtype=float64)"
"tf.Tensor(7.870523572830827, shape=(), dtype=float64)","tf.Tensor(282.83943149854304, shape=(), dtype=float64)",0.051000000000000004,-8.393969374809922,"tf.Tensor(0.4110997397694476, shape=(), dtype=float64)","tf.Tensor([[10.37888074 -0.16202299 -2.60489177 -0.62436615]], shape=(1, 4), dtype=float64)"
"tf.Tensor(8.15336300432937, shape=(), dtype=float64)","tf.Tensor(286.552929538191, shape=(), dtype=float64)",0.052000000000000005,-7.989523870753637,"tf.Tensor(0.40444565798107845, shape=(), dtype=float64)","tf.Tensor([[10.75825477 -0.17460355 -2.70298198 -0.65877935]], shape=(1, 4), dtype=float64)"
"tf.Tensor(8.43991593386756, shape=(), dtype=float64)","tf.Tensor(290.19564243101064, shape=(), dtype=float64)",0.053,-7.5911701410354695,"tf.Tensor(0.39835317011208105, shape=(), dtype=float64)","tf.Tensor([[11.14289791 -0.18787752 -2.80261145 -0.6943116 ]], shape=(1, 4), dtype=float64)"
"tf.Tensor(8.73011157629857, shape=(), dtype=float64)","tf.Tensor(293.76755130800524, shape=(), dtype=float64)",0.054,-7.198332988097506,"tf.Tensor(0.39283719759719915, shape=(), dtype=float64)","tf.Tensor([[11.53272303 -0.20186744 -2.90376376 -0.73097145]], shape=(1, 4), dtype=float64)"
"tf.Tensor(9.023879127606575, shape=(), dtype=float64)","tf.Tensor(297.2686440508438, shape=(), dtype=float64)",0.055,-6.81042176105409,"tf.Tensor(0.387910779182576, shape=(), dtype=float64)","tf.Tensor([[11.92764289 -0.21659602 -3.00642242 -0.76876696]], shape=(1, 4), dtype=float64)"
"tf.Tensor(9.321147771657419, shape=(), dtype=float64)","tf.Tensor(300.69891526210284, shape=(), dtype=float64)",0.056,-6.426833755885851,"tf.Tensor(0.38358804274017544, shape=(), dtype=float64)","tf.Tensor([[12.32757019 -0.23208616 -3.11057086 -0.80770575]], shape=(1, 4), dtype=float64)"
"tf.Tensor(9.621846686919522, shape=(), dtype=float64)","tf.Tensor(304.05836623501165, shape=(), dtype=float64)",0.057,-6.046953129419753,"tf.Tensor(0.3798800639685638, shape=(), dtype=float64)","tf.Tensor([[12.73241755 -0.2483609  -3.21619248 -0.84779493]], shape=(1, 4), dtype=float64)"
"tf.Tensor(9.925905053154533, shape=(), dtype=float64)","tf.Tensor(307.34700492270656, shape=(), dtype=float64)",0.058,-5.6701594425923245,"tf.Tensor(0.37679413166096865, shape=(), dtype=float64)","tf.Tensor([[13.14209753 -0.2654434  -3.32327057 -0.88904117]], shape=(1, 4), dtype=float64)"
"tf.Tensor(10.23325205807724, shape=(), dtype=float64)","tf.Tensor(310.5648459069988, shape=(), dtype=float64)",0.059000000000000004,-5.2958315375375955,"tf.Tensor(0.374327726554192, shape=(), dtype=float64)","tf.Tensor([[13.55652263 -0.28335699 -3.4317884  -0.93145063]], shape=(1, 4), dtype=float64)"
"tf.Tensor(10.543816903984238, shape=(), dtype=float64)","tf.Tensor(313.71191036666164, shape=(), dtype=float64)",0.06,-4.9233587237274135,"tf.Tensor(0.3724725288367736, shape=(), dtype=float64)","tf.Tensor([[13.9756053  -0.3021251  -3.54172916 -0.97502905]], shape=(1, 4), dtype=float64)"
"tf.Tensor(10.8575288143509, shape=(), dtype=float64)","tf.Tensor(316.7882260452415, shape=(), dtype=float64)",0.061,-4.552153514585204,"tf.Tensor(0.3712055373895282, shape=(), dtype=float64)","tf.Tensor([[14.39925798 -0.32177128 -3.653076   -1.01978167]], shape=(1, 4), dtype=float64)"
"tf.Tensor(11.174317040396142, shape=(), dtype=float64)","tf.Tensor(319.79382721839886, shape=(), dtype=float64)",0.062,-4.181663136174014,"tf.Tensor(0.37049060062546246, shape=(), dtype=float64)","tf.Tensor([[14.82739304 -0.3423192  -3.76581199 -1.06571326]], shape=(1, 4), dtype=float64)"
"tf.Tensor(11.494110867614541, shape=(), dtype=float64)","tf.Tensor(322.72875466078335, shape=(), dtype=float64)",0.063,-3.811385248011649,"tf.Tensor(0.3702789156655868, shape=(), dtype=float64)","tf.Tensor([[15.25992285 -0.36379261 -3.87992016 -1.11282816]], shape=(1, 4), dtype=float64)"
