global_step=15356, episodic_return=[-39736.402]
global_step=15384, episodic_return=[-39803.336]
global_step=15496, episodic_return=[-39419.562]
global_step=15532, episodic_return=[-39954.02]
global_step=15564, episodic_return=[-39734.117]
global_step=15572, episodic_return=[-39929.824]
global_step=15768, episodic_return=[-39204.703]
global_step=15772, episodic_return=[-39487.59]
global_step=15780, episodic_return=[-39798.184]
global_step=15828, episodic_return=[-39337.164]
global_step=15976, episodic_return=[-39820.773]
global_step=16028, episodic_return=[-39380.816]
global_step=16044, episodic_return=[-39497.848]
global_step=16064, episodic_return=[-39617.633]
global_step=16208, episodic_return=[-39554.81]
global_step=16252, episodic_return=[-39778.145]
global_step=16260, episodic_return=[-39893.51]
global_step=16300, episodic_return=[-39405.67]
SPS: 376
global_step=16444, episodic_return=[-39523.145]
global_step=16456, episodic_return=[-39900.402]
global_step=16468, episodic_return=[-39713.36]
global_step=16532, episodic_return=[-39756.96]
global_step=16680, episodic_return=[-39837.44]
global_step=16692, episodic_return=[-39627.004]
global_step=16768, episodic_return=[-38505.426]
global_step=16792, episodic_return=[-39362.152]
global_step=16948, episodic_return=[-39246.168]
global_step=16980, episodic_return=[-38614.953]
global_step=17028, episodic_return=[-39402.277]
global_step=17104, episodic_return=[-38899.64]
global_step=17208, episodic_return=[-39002.906]
global_step=17224, episodic_return=[-39486.383]
global_step=17268, episodic_return=[-39608.082]
global_step=17336, episodic_return=[-39741.668]
global_step=17484, episodic_return=[-39403.406]
global_step=17496, episodic_return=[-39017.215]
global_step=17536, episodic_return=[-39398.496]
global_step=17604, episodic_return=[-38981.75]
global_step=17744, episodic_return=[-39450.676]
global_step=17820, episodic_return=[-39411.094]
global_step=17828, episodic_return=[-38465.23]
global_step=17940, episodic_return=[-36562.32]
global_step=17964, episodic_return=[-39734.78]
global_step=18048, episodic_return=[-39839.152]
global_step=18144, episodic_return=[-38288.996]
global_step=18236, episodic_return=[-39229.41]
global_step=18308, episodic_return=[-36698.836]
global_step=18328, episodic_return=[-39436.004]
global_step=18400, episodic_return=[-39415.03]
global_step=18500, episodic_return=[-39186.367]
global_step=18552, episodic_return=[-39646.1]
global_step=18568, episodic_return=[-39462.83]
global_step=18632, episodic_return=[-39649.344]
global_step=18808, episodic_return=[-38490.64]
global_step=18852, episodic_return=[-39156.133]
global_step=18856, episodic_return=[-39601.492]
global_step=18876, episodic_return=[-38072.863]
global_step=19028, episodic_return=[-39803.64]
global_step=19084, episodic_return=[-39607.754]
global_step=19096, episodic_return=[-39636.414]
global_step=19104, episodic_return=[-39685.418]
global_step=19228, episodic_return=[-39878.01]
global_step=19340, episodic_return=[-39374.516]
global_step=19392, episodic_return=[-38825.523]
global_step=19396, episodic_return=[-39040.04]
global_step=19560, episodic_return=[-38800.324]
global_step=19620, episodic_return=[-39544.59]
global_step=19640, episodic_return=[-39729.36]
global_step=19712, episodic_return=[-38830.715]
global_step=19784, episodic_return=[-39772.438]
global_step=19904, episodic_return=[-39387.027]
global_step=19944, episodic_return=[-39064.652]
global_step=20004, episodic_return=[-39179.3]
global_step=20028, episodic_return=[-39664.85]
global_step=20164, episodic_return=[-39755.785]
global_step=20216, episodic_return=[-39287.27]
global_step=20316, episodic_return=[-39381.848]
global_step=20316, episodic_return=[-38767.594]
global_step=20420, episodic_return=[-39133.367]
global_step=20496, episodic_return=[-39049.234]
global_step=20540, episodic_return=[-39687.13]
global_step=20584, episodic_return=[-39440.457]
global_step=20700, episodic_return=[-39307.098]
global_step=20804, episodic_return=[-39632.445]
global_step=20860, episodic_return=[-38323.445]
global_step=20872, episodic_return=[-38795.742]
global_step=20908, episodic_return=[-39816.88]
global_step=21048, episodic_return=[-39558.28]
global_step=21072, episodic_return=[-39883.51]
global_step=21132, episodic_return=[-39380.914]
global_step=21260, episodic_return=[-36409.875]
global_step=21320, episodic_return=[-39499.664]
global_step=21364, episodic_return=[-38749.36]
global_step=21420, episodic_return=[-38633.49]
global_step=21560, episodic_return=[-38756.66]
global_step=21640, episodic_return=[-38549.87]
global_step=21668, episodic_return=[-39129.074]
global_step=21732, episodic_return=[-38775.5]
global_step=21780, episodic_return=[-39747.105]
global_step=21888, episodic_return=[-39665.16]
global_step=21896, episodic_return=[-39210.848]
global_step=21936, episodic_return=[-39861.29]
global_step=22048, episodic_return=[-39212.95]
global_step=22088, episodic_return=[-39848.52]
global_step=22240, episodic_return=[-37479.98]
global_step=22260, episodic_return=[-38511.305]
global_step=22304, episodic_return=[-39458.14]
global_step=22392, episodic_return=[-38847.293]
global_step=22472, episodic_return=[-39611.246]
global_step=22504, episodic_return=[-39497.06]
global_step=22572, episodic_return=[-39125.777]
global_step=22616, episodic_return=[-39735.25]
global_step=22768, episodic_return=[-38917.46]
global_step=22788, episodic_return=[-39799.832]
global_step=22884, episodic_return=[-39382.21]
global_step=22904, episodic_return=[-32136.02]
global_step=22972, episodic_return=[-39850.26]
global_step=23052, episodic_return=[-39366.426]
global_step=23068, episodic_return=[-39927.203]
global_step=23120, episodic_return=[-39811.867]
global_step=23304, episodic_return=[-37573.66]
global_step=23328, episodic_return=[-39616.293]
global_step=23360, episodic_return=[-38316.586]
global_step=23440, episodic_return=[-38396.527]
global_step=23492, episodic_return=[-39930.832]
global_step=23576, episodic_return=[-39305.258]
global_step=23640, episodic_return=[-39836.254]
global_step=23656, episodic_return=[-38543.258]
global_step=23780, episodic_return=[-39083.066]
global_step=23780, episodic_return=[-39893.863]
global_step=23928, episodic_return=[-39006.227]
global_step=23984, episodic_return=[-38208.82]
global_step=24068, episodic_return=[-38815.016]
global_step=24092, episodic_return=[-38422.223]
global_step=24212, episodic_return=[-38831.477]
global_step=24336, episodic_return=[-36723.523]
global_step=24368, episodic_return=[-39464.906]
global_step=24392, episodic_return=[-38805.75]
global_step=24504, episodic_return=[-39463.09]
SPS: 388
global_step=24632, episodic_return=[-39243.656]
global_step=24640, episodic_return=[-39449.832]
global_step=24676, episodic_return=[-38803.45]
global_step=24816, episodic_return=[-38587.59]
global_step=24928, episodic_return=[-38524.043]
global_step=24968, episodic_return=[-38151.465]
global_step=25036, episodic_return=[-35611.45]
global_step=25236, episodic_return=[-33612.14]
global_step=25340, episodic_return=[-37163.805]
global_step=25356, episodic_return=[-38883.613]
global_step=25364, episodic_return=[-29264.55]
global_step=25608, episodic_return=[-37570.625]
global_step=25748, episodic_return=[-34446.8]
global_step=25756, episodic_return=[-35691.094]
global_step=25812, episodic_return=[-29211.305]
global_step=25996, episodic_return=[-34837.273]
global_step=26100, episodic_return=[-36483.656]
global_step=26156, episodic_return=[-36579.816]
global_step=26200, episodic_return=[-35249.727]
global_step=26336, episodic_return=[-38317.496]
global_step=26468, episodic_return=[-38293.08]
global_step=26628, episodic_return=[-30264.498]
global_step=26636, episodic_return=[-15475.348]
global_step=26728, episodic_return=[-34661.703]
global_step=26880, episodic_return=[-31839.965]
global_step=27012, episodic_return=[-34300.387]
global_step=27064, episodic_return=[-30432.793]
